Title,Mission,Mission,Program Description,Type of service,Other type of service,"Headquarter Location (City, State)",States of Operation,Website Address,Organization Type,Year Started,Subject Offered,Other subjects,Grade Levels,Languages Offered,Other languages,Type of Tutor,Other tutor type,Delivery Mode,Percentage of tutors who can speak a language other than English,Race/Ethnicity breakdown of tutors,Most recent number of students served,Number of Minutes Per Session,Number of Sessions Per Week,Number of Weeks Per Program,Student-Tutor Ratio,Student/Tutor Ratio Per Program,Setting,Family Engagement,Family Engagement Description,Randomized controlled trial (RCT) study conducted?,RCT Citation,RCT effect size,Quasi-experimental (QED) study conducted?,QED citation,QED effect size,Customer Type,Cost to District/ School/ Non-Profit ,Cost to Student ,Contact
425 Tutoring,,"A free, student led, & community-driven group tutoring service to keep your student on track.","425 Tutoring is a student-run organization that connects high school volunteer tutors with elementary school students looking for tutoring. Based in Washington State, students and parents can sign up for group tutoring sessions on the website. We will then assign high school tutors to reach out and conduct recurring virtual tutoring sessions via Zoom or Google Meets. 
 ",Tutoring Program,,"Seattle, WA",Washington,http://425tutoring.org,Nonprofit,2020,"English Language Arts (ELA), Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade","English, Spanish",,"Peer, Volunteer",,Virtual,"5% speak Spanish, 5% speak Chinese","Hispanic or Latino- 10%, American Indian or Alaska Native-",673,40,1 to 2,8,3:01,,Out of School,,"Because our tutees are young, elementary school students, we rely on parent communication for scheduling and requesting student information. Tutors and parents communicate through email.",No,,,No,,,"Parent, School",0,0,
Air Tutors,To advance global learning by personalizing educational experiences with amazing educators.,To advance global learning by personalizing educational experiences with amazing educators.,Start-up virtual tutoring program with a credit recovery payment model.,Tutoring Program,,"Stockton, California","California, Michigan, Rhode Island, Texas",https://airtutors.org/,For Profit,2016,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, Spanish, Other","Hindi, Urdu, Punjabi, Mandarin, Cantonese, sign language",Paraprofessional,,Virtual,45% are multi-lingual,"Hispanic or Latino- 28%, Asian 11%, Black or African American 26%, White 32%",15000,,Varies,,1:1 up to 20:1,,"During School, Out of School",,,No,,,No,,,"District, Nonprofit, Parent, School, Student",District and corporate partnerships range depending on the tutoring program provided.,"Free for students who are enrolled in district sponsored program, per session cost for students who are self-enrolled.",
"Bass Educational Services, LLC",,Our mission is to provide students who learn differently with a range of educational services to support lifelong success. We offer a holistic and individualized tutoring approach to each students and their unique learning situation.,"Our tutors can assist with K-12 and postsecondary academic subject areas, homework support, distance learning strategies, coaching, and creating routines to help with time management and organization. The tutoring staff at BES understand the difficulties that students who learn differently face every day. With an in-depth knowledge of different learning styles and how to address them, our tutors can individualize their methods to meet each student's needs. Depending on your child's age and need, we have a dynamic approach to support learning. From multisensory math and emerging literacy through AP and IB courses, our tutors can support your family. ","Tutoring Program, Academic Intervention",,"Olney, Maryland","Florida, Maryland, New Jersey, New York, Virginia, Washington DC, Virtual",https://www.basseducationalservices.com,For Profit,2001,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",Organization and time management along with additional executive function/academic coaching skills.,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",English,,Tutoring Staff,,Virtual,,"10% Hispanic or Latino, 5% Asian, 10% Black or African American, 75% White",60,30-60,Varies by student needs,,1:01,,Out of School,,"We provide updates to the parents after every session including what was worked on, if there are any assignments to complete between sessions, and when the next session is. We also provide suggestions to parents regarding asking the child's teacher or school for accommodations and support.",No,,,No,,,"Parent, School, Student","30 min = $80; 45 min = $100; 60 min = $125 (but we are always flexible depending on the needs of the student, family and school)","30 min = $80; 45 min = $100; 60 min = $125 (but we are always flexible depending on the needs of the student, family and school)",
Blueprint Schools Network,,"Blueprint School Network promotes educational equity and improves life outcomes for students by partnering with states, districts, and schools to plan, implement, and monitor school improvement initiatives.",One-year fellowship placing tutors in Blueprint partner schools to provide in-school support.,Tutoring Program,,"Needham, Massachusetts","California, Colorado, Illinois",http://www.blueprintschools.org,Nonprofit,2010,Math,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,In-Person,,,,,"Daily, small-group",,Small group,,During School,,,No,,,No,,,School,,,"Founder and Executive Director, Matthew Spengler, info@blueprintschools.org"
BookNook,To ensure every child has access to a world-class reading teacher.,To ensure every child has access to a world-class reading teacher.,"BookNook provides a cloud-based platform for synchronous and rigorous K-8 reading instruction that can be accessed by any device larger than a phone. Students log in from school, home, or a community-based setting and work one-on-one or in small groups on algorithmically-recommended sequences of standards-aligned curricular and text content. Adult instructors are a diverse array of teachers, paraprofessionals, childcare providers, and community volunteers, and BookNook can also supply tutors from a national network of over 200,000 trained virtual instructors.","Tutoring Program, Technology Platform, Academic Intervention",,"San Francisco, California","California, Georgia, Illinois, Maryland, New York, Tennessee, Texas",https://www.booknooklearning.com/,For Profit,2016,Reading,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade","English, Spanish",,"Paraprofessional, Teacher, Tutoring Staff, Volunteer",,"Blended, In-Person, Virtual","English-100%, Bilingual Spanish-20%",,75000,20-40,"Flexible, but 2-3 sessions per week are recommended.",,4:1 or 1:1,,"During School, Out of School",,,No,,,No,,,"District, Nonprofit, School","School districts & nonprofits pay $18-$40 per student per year for platform access, and $110-$1,100 per student per year for BookNook supplied tutors.",Free,
Bored of Boredom,,"We strive to bring education to everyone, especially those who have historically been excluded from enrichment opportunities, that’s why the majority of our students are neurodiverse, speak English as a second language, or come from under-resourced communities.",High school students providing indivdiual and group classes to ensure that children remain intellectually stimulated (for free) during this unprecendented time,"Tutoring Program, Other",,"Los Angeles, California",Virtual,https://www.boredofboredom.org/what-we-do,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Other","All (includes mutliple languages, free individual tutoring, and after-school study hall for homework help).","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","Chinese, English, Spanish",,Volunteer,,Virtual,,,,,Flexible,,"1:1, or 1:5-10",,Out of School,,,No,,,No,,,Student,,Free,"Hope Shinderman, President & Cofounder, boredofboredom20@gmail.com"
BrightPath Tutors,,"Level the playing field by providing free, outstanding tutoring to all students who need it.","Free, one-on-one online tutoring from qualified college students.","Tutoring Program, Other",,"Nashville, Tennessee","New York, Tennessee, Virtual",https://brightpathtutors.org/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Other",College readiness,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,Virtual,,,,,Flexible,,1:01,,Out of School,,,No,,,No,,,"Parent, Student",,Free,contact@brightpathtutors.org
Brown Refugee Youth Tutoring and Enrichment (BRYTE),,"We support the self-empowerment of refugee youth through providing academic tutoring and mentoring, as well as by fostering a greater sense of community among students who share experiences of settlement in the United States.","BRYTE is a student-led organization that pairs Brown undergraduate tutors with students ages 5-18 in refugee families. Currently, BRYTE works with over 170 refugee youth that are resettled from a diverse set of countries, including Iraq, Syria, Colombia, Nepal, Eritrea, the Democratic Republic of the Congo, Rwanda, Burundi, Burma, Somalia, and others. Brown undergraduate, graduate, and medical school students serve as the tutors and mentors in the BRYTE program. Around 170 BRYTE volunteers work one-on-one with refugee students in their homes at least three hours per week. Volunteers spend time primarily tutoring (providing homework help and building on foundational literacy skills), but also engage in enrichment activities such as taking their students to visit the zoo, playing soccer at the park, or bringing them up to Brown's campus for community events.",Tutoring Program,,"Providence, Rhode Island",Rhode Island,https://brownrefugeetutoring.org/index.html,Nonprofit,2006,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,Volunteer,,,,,,,,,1:01,,Out of School,,,No,,,No,,,"Parent, Student",,Free,
Burka Tutoring,,"To help students in grades K - 8 in reading, spelling, math, and executive functioning skills.   Specialty of Burka tutoring is working with students who are dyslexic.",Allee Burka is a licensed reading specialist who is an associate of Orton Gillingham and has her Masters in literacy. She provides one one one tutoring online and in person.,Tutoring Program,,"Bethesda, Maryland","Maryland, Virtual",,For Profit,2016,"English Language Arts (ELA), Early Literacy, Math, Reading",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade",,,Tutoring Staff,,Blended,,,15,45-60,3-Feb,Depends on student progress,1:01,,"During School, Out of School",,Weekly email updates and phone calls as requested.,No,,,No,,,Parent,,$75-100 per session,
Children's Learning Institute: Dan L. Duncan Reading Initiative,,The Dan L Duncan Programs at the Children's Learning Institute were created through the generosity of the Dan L Duncan family. Their mission is to enhance children's opportunities for successful living by providing them with individualized research-based clinical services. A highly unique aspect of our clinics is our focus on finding the most effective approaches for correcting child developmental and learning problems through a clinic structure that allows our research to inform our practice.,The Dan L Duncan Reading Initiative provides school-based early intervention to students who are at-risk for or who are experiencing reading failure as well as enrichment programs for students with grade level academic skills.,"Tutoring Program, Academic Intervention, Other",Offer school based tutoring programs.,"Houston, Texas",Texas,https://www.childrenslearninginstitute.org/programs/school-based-tutoring-progr…,,2007,"Reading, Other",Has another program for math.,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade","English, Spanish, Other",Spanish for K-2 only.,,,Virtual,,,,,4,,"1:1, small groups of up to 3 children",,,,,No,,,No,,,"School, Student",,,
